title,source,register,status,notes
"Rise of the Minibar","daily-idea-scout 2026-08-10 (idea #8)",comedic,scripted,"Full pipeline complete: research/posts/rise-of-the-minibar.md, scripts/rise-of-the-minibar/{xhs,bilibili,youtube}.md, visual-cues.csv (Phase 1 only, sourcing not yet run)"
"Grading a real stay against my own rubric / How I actually grade a hotel","daily-idea-scout 2026-08-11-2 (idea #3 and/or #10 -- ambiguous, confirm which)",comedic,selected,"Two related ideas in that batch use near-identical titles (idea #3 pairs it with a specific real stay; idea #10 is the rubric itself as standalone content). Confirm with creator which was meant, or whether both."
"I Only Review Hotel Bathrobes","daily-idea-scout 2026-08-11-2 (idea #5)",comedic,selected,"Recurring-series format, not a single video -- worth deciding the series cadence before scripting the first one"
"The Ritz Paris under Nazi occupation","daily-idea-scout 2026-08-11-2 (idea #6)",gripping-dramatic,selected,"Needs full story-researcher pass with extra sourcing rigor per CLAUDE.md's real-tragedy rules before any scripting"
"What to say at the front desk to get extra hotel perks","creator-original, not in any batch",comedic,selected,"No batch source -- daily-idea-scout should be told this is a wanted angle"
"The turndown-service ritual as stress-relief, not a luxury flex","daily-idea-scout 2026-08-11-2 (idea #8)",comedic-warm,selected,""
"Do Not Disturb sign history (15,000+ signs collected)","daily-idea-scout 2026-08-11-2 (idea #1, 'Rise of the Do Not Disturb Sign')",comedic,selected,"Second Rise-of-X entry to be greenlit, after the minibar"
"Breakdown of how expensive it is to maintain a hotel","creator-original, not in any batch",comedic,selected,"No batch source. Related material already surfaced in the minibar brief (8 full-time staff at Marriott Marquis) could seed this"
"Are you paying for the brand or the product?","creator-original, not in any batch",comedic,selected,"No batch source. Thematically adjacent to the LV/Bulgari pieces and the 'stopped buying the logo' XHS finding -- could connect to those rather than stand alone"
"The Rise and Fall of the Tiny Hotel Shampoo Bottle","daily-idea-scout 2026-08-12 (idea #1)",comedic,selected,"Timely -- real legislative deadlines through 2026-2028, unlike the minibar this one has a genuine ending"
"What 'Palace' Actually Means (Most Five-Star Hotels Don't Qualify)","daily-idea-scout 2026-08-12 (idea #2)",comedic-dry,selected,"2026 list includes Bvlgari Paris and Four Seasons Megeve -- both real collaboration brands"
"Reading Capella Kyoto's design like an editor, not a travel blog","daily-idea-scout 2026-08-12 (idea #5)",comedic-insider,selected,"NEEDS OUTREACH -- creator flagged 'Contact Capella Kyoto.' No current agent does outreach; story-researcher can only work from public sources until this happens"
"They Spent EUR30M Renovating a 15th-Century Palazzo (Danieli)","daily-idea-scout 2026-08-12 (idea #6)",comedic-insider,selected,"Four Seasons collaboration brand. Needs story-researcher pass to confirm specific preserved elements"
"Why Every Luxury Hotel Smells Exactly the Same (And What That Costs)","daily-idea-scout 2026-08-12 (idea #9)",comedic-dry,selected,""
"Why do hotels all look the same? (one design firm angle)","creator-original, not in any batch",comedic,selected,"No batch source -- daily-idea-scout should be told this is a wanted angle"
"What a Forbes Five-Star Inspector Actually Checks","daily-idea-scout 2026-08-13 (idea #1)",comedic-dry,selected,"Flagged as a genuine Bilibili knowledge-content fit by trend-scout"
"Four Seasons Hotel Xi'an","daily-idea-scout 2026-08-13 (idea #4)",comedic-insider,selected,"Four Seasons collaboration brand, property not yet open -- needs story-researcher pass"
"Rise of the Wake-Up Call","daily-idea-scout 2026-08-13 (idea #6)",comedic,selected,"Fourth Rise-of-X entry; the batch itself flagged the format queue as getting crowded"
"The different service concept of luxury hotels","creator-original, not in any batch",comedic-insider,selected,"No batch source -- daily-idea-scout should be told this is a wanted angle"
"Manila Hotel -- General MacArthur's penthouse, the hotel that became a battlefield","daily-idea-scout 2026-08-14 (idea #2)",gripping-dramatic,selected,"114th-anniversary campaign makes it timely. Real named civilian deaths in the broader Battle of Manila -- needs the same extra-rigor sourcing pass as the Ritz Paris piece"
"Louis Vuitton Said No to Hotels. Bulgari Said Yes in 2001.","daily-idea-scout 2026-08-15 (idea #3)",comedic-dry,selected,"Uses two real Bvlgari collaboration properties (London, Paris) as proof. Pairs with the marine-biology-center idea below as a two-part Bulgari arc"
"Bulgari's Next Hotel Has Its Own Marine Biology Center (Ranfushi)","daily-idea-scout 2026-08-16 (idea #2)",comedic-dry,selected,"NEEDS OUTREACH -- creator flagged 'Contact Bulgari about the opening invitation.' Opens late 2026, not yet open"
"The Hotel Rock Stars Actually Trusted (Sunset Marquis)","daily-idea-scout 2026-08-16 (idea #3)",comedic-insider,selected,"No collaboration-brand relationship -- an editorial-coherence stretch the creator greenlit anyway on story strength and a just-released documentary's timeliness"
